run,step,H_p_bar_t,H_pt,KL_pt_ps,L_iso,L_iso_cov,L_iso_mean,batch_KL,grad_norm_total,infonce_acc,loss,lr,neg_cos,pos_cos,teacher_momentum,teacher_temp
simcse_repro_1epoch_s42,1540,,,,,,,,0.0097,1.0,0.0001,2.7e-05,0.0159,0.7981,,
simcse_repro_1epoch_s42,1550,,,,,,,,0.0144,1.0,0.0002,2.7e-05,0.0197,0.792,,
simcse_repro_1epoch_s42,1560,,,,,,,,0.0095,1.0,0.0001,2.7e-05,0.0197,0.7936,,
simcse_repro_1epoch_s42,1570,,,,,,,,0.0215,1.0,0.0003,2.69e-05,0.0187,0.8001,,
simcse_repro_1epoch_s42,1580,,,,,,,,0.0019,1.0,0.0001,2.69e-05,0.0126,0.7953,,
simcse_repro_1epoch_s42,1590,,,,,,,,0.0014,1.0,0.0001,2.69e-05,0.0107,0.7972,,
simcse_repro_1epoch_s42,1600,,,,,,,,0.0028,1.0,0.0001,2.69e-05,0.011,0.7964,,
simcse_repro_1epoch_s42,1610,,,,,,,,0.0024,1.0,0.0001,2.69e-05,0.0135,0.7998,,
simcse_repro_1epoch_s42,1620,,,,,,,,0.0019,1.0,0.0001,2.68e-05,0.0105,0.7993,,
simcse_repro_1epoch_s42,1630,,,,,,,,0.0017,1.0,0.0001,2.68e-05,0.0125,0.7981,,
simcse_repro_1epoch_s42,1640,,,,,,,,0.0017,1.0,0.0001,2.68e-05,0.0151,0.7985,,
simcse_repro_1epoch_s42,1650,,,,,,,,0.0012,1.0,0.0,2.68e-05,0.0134,0.8058,,
simcse_repro_1epoch_s42,1660,,,,,,,,0.003,1.0,0.0001,2.68e-05,0.0092,0.7963,,
simcse_repro_1epoch_s42,1670,,,,,,,,0.1028,1.0,0.0008,2.67e-05,0.0147,0.7953,,
simcse_repro_1epoch_s42,1680,,,,,,,,0.002,1.0,0.0001,2.67e-05,0.0148,0.7977,,
simcse_repro_1epoch_s42,1690,,,,,,,,0.0043,1.0,0.0001,2.67e-05,0.0115,0.7932,,
simcse_repro_1epoch_s42,1700,,,,,,,,0.0032,1.0,0.0001,2.67e-05,0.017,0.7985,,
simcse_repro_1epoch_s42,1710,,,,,,,,0.0355,1.0,0.0004,2.67e-05,0.0414,0.7909,,
simcse_repro_1epoch_s42,1720,,,,,,,,0.004,1.0,0.0001,2.66e-05,0.0522,0.7973,,
simcse_repro_1epoch_s42,1730,,,,,,,,0.0041,1.0,0.0001,2.66e-05,0.045,0.8005,,
simcse_repro_1epoch_s42,1740,,,,,,,,0.0043,1.0,0.0001,2.66e-05,0.0404,0.8035,,
simcse_repro_1epoch_s42,1750,,,,,,,,0.0061,1.0,0.0001,2.66e-05,0.0297,0.8022,,
simcse_repro_1epoch_s42,1760,,,,,,,,0.0022,1.0,0.0001,2.66e-05,0.0252,0.7911,,
simcse_repro_1epoch_s42,1770,,,,,,,,0.002,1.0,0.0001,2.66e-05,0.024,0.8045,,
simcse_repro_1epoch_s42,1780,,,,,,,,0.0058,1.0,0.0001,2.65e-05,0.0209,0.7981,,
simcse_repro_1epoch_s42,1790,,,,,,,,0.0027,1.0,0.0001,2.65e-05,0.0229,0.799,,
simcse_repro_1epoch_s42,1800,,,,,,,,0.0034,1.0,0.0001,2.65e-05,0.0186,0.7985,,
simcse_repro_1epoch_s42,1810,,,,,,,,0.0027,1.0,0.0001,2.65e-05,0.0195,0.7974,,
simcse_repro_1epoch_s42,1820,,,,,,,,0.003,1.0,0.0001,2.65e-05,0.018,0.798,,
simcse_repro_1epoch_s42,1830,,,,,,,,0.0125,1.0,0.0001,2.64e-05,0.0156,0.805,,
simcse_repro_1epoch_s42,1840,,,,,,,,0.0014,1.0,0.0,2.64e-05,0.0157,0.8094,,
simcse_repro_1epoch_s42,1850,,,,,,,,0.0018,1.0,0.0001,2.64e-05,0.0202,0.8043,,
simcse_repro_1epoch_s42,1860,,,,,,,,0.0239,1.0,0.0002,2.64e-05,0.0183,0.8018,,
simcse_repro_1epoch_s42,1870,,,,,,,,0.0033,1.0,0.0001,2.64e-05,0.0158,0.8063,,
simcse_repro_1epoch_s42,1880,,,,,,,,0.0067,1.0,0.0001,2.63e-05,0.0121,0.7954,,
simcse_repro_1epoch_s42,1890,,,,,,,,0.0251,1.0,0.0002,2.63e-05,0.0115,0.7999,,
simcse_repro_1epoch_s42,1900,,,,,,,,0.0012,1.0,0.0,2.63e-05,0.0105,0.7971,,
simcse_repro_1epoch_s42,1910,,,,,,,,0.0022,1.0,0.0001,2.63e-05,0.017,0.805,,
simcse_repro_1epoch_s42,1920,,,,,,,,0.0019,1.0,0.0001,2.63e-05,0.0117,0.81,,
simcse_repro_1epoch_s42,1930,,,,,,,,0.0026,1.0,0.0001,2.62e-05,0.0097,0.801,,
simcse_repro_1epoch_s42,1940,,,,,,,,0.0031,1.0,0.0001,2.62e-05,0.0116,0.793,,
simcse_repro_1epoch_s42,1950,,,,,,,,0.0033,1.0,0.0001,2.62e-05,0.0142,0.7995,,
simcse_repro_1epoch_s42,1960,,,,,,,,0.0029,1.0,0.0001,2.62e-05,0.0123,0.7963,,
simcse_repro_1epoch_s42,1970,,,,,,,,0.0026,1.0,0.0001,2.62e-05,0.0155,0.7953,,
simcse_repro_1epoch_s42,1980,,,,,,,,0.0013,1.0,0.0,2.61e-05,0.0122,0.8142,,
simcse_repro_1epoch_s42,1990,,,,,,,,0.0062,1.0,0.0001,2.61e-05,0.0321,0.7988,,
simcse_repro_1epoch_s42,2000,,,,,,,,0.0023,1.0,0.0001,2.61e-05,0.0333,0.8095,,
simcse_repro_1epoch_s42,2010,,,,,,,,0.0049,1.0,0.0001,2.61e-05,0.0404,0.806,,
simcse_repro_1epoch_s42,2020,,,,,,,,0.0027,1.0,0.0001,2.61e-05,0.0348,0.8019,,
simcse_repro_1epoch_s42,2030,,,,,,,,0.0033,1.0,0.0001,2.6e-05,0.0327,0.806,,
simcse_repro_1epoch_s42,2040,,,,,,,,0.0058,1.0,0.0001,2.6e-05,0.03,0.8084,,
simcse_repro_1epoch_s42,2050,,,,,,,,0.0051,1.0,0.0001,2.6e-05,0.0231,0.7992,,
simcse_repro_1epoch_s42,2060,,,,,,,,0.0015,1.0,0.0001,2.6e-05,0.0215,0.8052,,
simcse_repro_1epoch_s42,2070,,,,,,,,0.002,1.0,0.0001,2.6e-05,0.0123,0.8072,,
simcse_repro_1epoch_s42,2080,,,,,,,,0.0009,1.0,0.0,2.59e-05,0.0125,0.8139,,
simcse_repro_1epoch_s42,2090,,,,,,,,0.0058,1.0,0.0001,2.59e-05,0.0158,0.8025,,
simcse_repro_1epoch_s42,2100,,,,,,,,0.0041,1.0,0.0001,2.59e-05,0.0173,0.7948,,
simcse_repro_1epoch_s42,2110,,,,,,,,0.0033,1.0,0.0001,2.59e-05,0.0161,0.8056,,
simcse_repro_1epoch_s42,2120,,,,,,,,0.0035,1.0,0.0001,2.59e-05,0.0142,0.798,,
simcse_repro_1epoch_s42,2130,,,,,,,,0.0023,1.0,0.0001,2.58e-05,0.0118,0.8064,,
simcse_repro_1epoch_s42,2140,,,,,,,,0.0034,1.0,0.0001,2.58e-05,0.0152,0.8036,,
simcse_repro_1epoch_s42,2150,,,,,,,,0.0079,1.0,0.0001,2.58e-05,0.0141,0.8059,,
simcse_repro_1epoch_s42,2160,,,,,,,,0.0027,1.0,0.0001,2.58e-05,0.019,0.8033,,
simcse_repro_1epoch_s42,2170,,,,,,,,0.0021,1.0,0.0001,2.58e-05,0.0202,0.8034,,
simcse_repro_1epoch_s42,2180,,,,,,,,0.0016,1.0,0.0001,2.58e-05,0.0254,0.8067,,
simcse_repro_1epoch_s42,2190,,,,,,,,0.0014,1.0,0.0001,2.57e-05,0.0163,0.8009,,
simcse_repro_1epoch_s42,2200,,,,,,,,0.0008,1.0,0.0,2.57e-05,0.0143,0.8059,,
simcse_repro_1epoch_s42,2210,,,,,,,,0.0025,1.0,0.0001,2.57e-05,0.0159,0.8004,,
simcse_repro_1epoch_s42,2220,,,,,,,,0.002,1.0,0.0001,2.57e-05,0.017,0.8068,,
simcse_repro_1epoch_s42,2230,,,,,,,,0.0031,1.0,0.0001,2.57e-05,0.0161,0.8029,,
simcse_repro_1epoch_s42,2240,,,,,,,,0.0021,1.0,0.0001,2.56e-05,0.0112,0.8023,,
simcse_repro_1epoch_s42,2250,,,,,,,,0.0021,1.0,0.0001,2.56e-05,0.0144,0.8021,,
simcse_repro_1epoch_s42,2260,,,,,,,,0.001,1.0,0.0,2.56e-05,0.011,0.8078,,
simcse_repro_1epoch_s42,2270,,,,,,,,0.0025,1.0,0.0001,2.56e-05,0.0102,0.8053,,
simcse_repro_1epoch_s42,2280,,,,,,,,0.002,1.0,0.0,2.56e-05,0.0063,0.8095,,
simcse_repro_1epoch_s42,2290,,,,,,,,0.0011,1.0,0.0,2.55e-05,0.0113,0.8017,,
simcse_repro_1epoch_s42,2300,,,,,,,,0.0053,1.0,0.0001,2.55e-05,0.0202,0.8005,,
simcse_repro_1epoch_s42,2310,,,,,,,,0.0018,1.0,0.0001,2.55e-05,0.0192,0.8065,,
simcse_repro_1epoch_s42,2320,,,,,,,,0.0117,1.0,0.0001,2.55e-05,0.0165,0.809,,
simcse_repro_1epoch_s42,2330,,,,,,,,0.0029,1.0,0.0001,2.55e-05,0.0172,0.8074,,
